;id;title;type;genres;averageRating;numVotes;releaseYear
299;tt2433738;Wentworth;tvSeries;Crime, Drama, Thriller;8.6;25278;2013
300;tt21056886;Scavengers Reign;tvSeries;Adventure, Animation, Drama;8.6;23417;2023
301;tt2244495;The Eric Andre Show;tvSeries;Comedy, Talk-Show;8.6;22308;2012
302;tt0129690;I'm Alan Partridge;tvSeries;Comedy;8.6;22292;1997
303;tt4082744;Detectorists;tvSeries;Comedy;8.6;22260;2014
304;tt0421291;Avrupa Yakasi;tvSeries;Comedy;8.6;21835;2004
305;tt2311418;Isler Güçler;tvSeries;Comedy;8.6;21484;2012
306;tt8050756;The Owl House;tvSeries;Action, Adventure, Animation;8.6;20943;2020
307;tt0358456;Earthlings;movie;Documentary;8.6;19967;2005
308;tt0252489;The Chaos Class Is on Vacation;movie;Comedy;8.6;19116;1977
309;tt7278862;My Brilliant Friend;tvSeries;Drama;8.6;18904;2018
310;tt0310455;Foyle's War;tvSeries;Crime, Drama, Mystery;8.6;18806;2002
311;tt1513168;Through the Wormhole;tvSeries;Documentary;8.6;18545;2010
312;tt0116860;Pretty Village, Pretty Flame;movie;Drama, History, War;8.6;18026;1996
313;tt10590066;All Creatures Great & Small;tvSeries;Comedy, Drama;8.6;17964;2020
314;tt9814458;Bandish Bandits;tvSeries;Drama, Music, Romance;8.6;17855;2020
315;tt0271383;A Dog's Will;movie;Comedy, Drama, Fantasy;8.6;17509;2000
316;tt3671754;Kardes Payi;tvSeries;Comedy, Drama, Family;8.6;17439;2014
317;tt0203082;Rurouni Kenshin: Trust and Betrayal;tvMiniSeries;Action, Adventure, Animation;8.6;16583;1999
318;tt0403778;Long Way Round;tvMiniSeries;Adventure, Documentary;8.6;15520;2004
319;tt17513352;Twenty Five Twenty One;tvSeries;Drama, Romance;8.6;15342;2022
320;tt15614372;Tear Along the Dotted Line;tvMiniSeries;Animation, Comedy, Drama;8.6;15116;2021
321;tt6385540;Hilda;tvSeries;Adventure, Animation, Drama;8.6;14434;2018
322;tt0120570;From the Earth to the Moon;tvMiniSeries;Action, Drama, History;8.6;13465;1998
323;tt0086831;Yes, Prime Minister;tvSeries;Comedy;8.6;13254;1986
324;tt1877368;The Great British Baking Show;tvSeries;Game-Show, Reality-TV;8.6;13249;2010
325;tt27051027;Love Li;movie;Drama, Romance;8.6;12946;2024
326;tt13634792;Mouse;tvSeries;Action, Crime, Mystery;8.6;12355;2021
327;tt5320412;Moon Lovers: Scarlet Heart Ryeo;tvSeries;Action, Drama, Fantasy;8.6;12273;2016
